2026-04-02 12:17:25.326 | INFO     | app.core.clip_handler:__init__:35 - CLIP instance created. Device: cpu (Model not loaded yet)
2026-04-02 12:17:33.255 | INFO     | app.core.clip_handler:_ensure_model_loaded:52 - CLIP model loaded successfully.
2026-04-02 12:17:36.205 | INFO     | app.core.db_handler.img_handler:add_img_to_database:50 - current process image: D:/stitp1/wh/picture/lake.png - Adding image to database...
2026-04-02 12:17:36.242 | WARNING  | app.core.utils:vector_check:93 - No similar images found in vector database.
2026-04-02 12:17:36.449 | INFO     | app.core.db_handler.img_handler:add_img_to_database:90 - Image added successfully: ID=1, Path=D:/stitp1/wh/picture/lake.png
2026-04-02 13:49:51.408 | INFO     | app.core.db_handler.img_handler:add_img_to_database:50 - current process image: D:/stitp1/wh/picture/dog1.png - Adding image to database...
2026-04-02 13:49:51.551 | INFO     | app.core.db_handler.img_handler:add_img_to_database:90 - Image added successfully: ID=2, Path=D:/stitp1/wh/picture/dog1.png
2026-04-02 13:50:14.477 | INFO     | app.core.db_handler.img_handler:add_img_to_database:50 - current process image: D:/stitp1/wh/picture/dog2.png - Adding image to database...
2026-04-02 13:50:14.486 | INFO     | app.core.utils:vector_check:101 - Vector similarity detected: ID 2 score 0.1881263256072998
2026-04-02 13:51:32.468 | INFO     | app.core.db_handler.img_handler:add_img_to_database:50 - current process image: D:/stitp1/wh/picture/apple.png - Adding image to database...
2026-04-02 13:51:32.604 | INFO     | app.core.db_handler.img_handler:add_img_to_database:90 - Image added successfully: ID=3, Path=D:/stitp1/wh/picture/apple.png
2026-04-02 14:12:40.788 | INFO     | app.core.db_handler.img_handler:add_img_to_database:50 - current process image: D:/stitp1/wh/picture/banana.png - Adding image to database...
2026-04-02 14:12:40.935 | INFO     | app.core.db_handler.img_handler:add_img_to_database:90 - Image added successfully: ID=4, Path=D:/stitp1/wh/picture/banana.png
2026-04-02 14:13:10.836 | INFO     | app.core.db_handler.img_handler:add_img_to_database:50 - current process image: D:/stitp1/wh/picture/building.png - Adding image to database...
2026-04-02 14:13:10.980 | INFO     | app.core.db_handler.img_handler:add_img_to_database:90 - Image added successfully: ID=5, Path=D:/stitp1/wh/picture/building.png
2026-04-02 14:13:43.737 | INFO     | app.core.db_handler.img_handler:add_img_to_database:50 - current process image: D:/stitp1/wh/picture/duck.png - Adding image to database...
2026-04-02 14:13:43.837 | INFO     | app.core.db_handler.img_handler:add_img_to_database:90 - Image added successfully: ID=6, Path=D:/stitp1/wh/picture/duck.png
2026-04-02 14:14:04.083 | INFO     | app.core.db_handler.img_handler:add_img_to_database:50 - current process image: D:/stitp1/wh/picture/football.png - Adding image to database...
2026-04-02 14:14:04.232 | INFO     | app.core.db_handler.img_handler:add_img_to_database:90 - Image added successfully: ID=7, Path=D:/stitp1/wh/picture/football.png
2026-04-02 14:14:33.824 | INFO     | app.core.db_handler.img_handler:add_img_to_database:50 - current process image: D:/stitp1/wh/picture/sunrise.png - Adding image to database...
2026-04-02 14:14:33.832 | INFO     | app.core.utils:vector_check:101 - Vector similarity detected: ID 1 score 0.19085896015167236
